elite_id,source_system,source_record_id,career_source_row,position,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,is_gaulliste,status,suppleant_de,a_eu_suppleant,source_url
FR_ELITE_000001,SYCOMORE,458,1,Député,Cinquième République - Assemblée nationale,IIe législature,1962-11-25,1967-04-02,Paris,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/458
FR_ELITE_000001,SYCOMORE,458,2,Député,Cinquième République - Assemblée nationale,IIIe législature,1967-03-12,1968-05-30,Paris,,Union démocratique pour la V° République,UD-Ve,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/458
FR_ELITE_000001,SYCOMORE,458,3,Député,Cinquième République - Assemblée nationale,IVe législature,1968-06-30,1973-04-01,Paris,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/458
FR_ELITE_000001,SYCOMORE,458,4,Député,Cinquième République - Assemblée nationale,Ve législature,1973-04-02,1978-04-02,Paris,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/458
FR_ELITE_000001,SYCOMORE,458,5,Député,Cinquième République - Assemblée nationale,VIe législature,1978-03-19,1981-05-22,Paris,,Rassemblement pour la République,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/458
FR_ELITE_000001,SYCOMORE,458,6,Député,Cinquième République - Assemblée nationale,VIIe législature,1981-07-02,1986-04-01,Paris,,Rassemblement pour la République,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/458
FR_ELITE_000003,SYCOMORE,7319,1,Député,Cinquième République - Assemblée nationale,IIIe législature,1967-03-12,1968-05-30,Saint-Pierre-et-Miquelon,,Union démocratique pour la V° République,UD-Ve,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7319
FR_ELITE_000003,SYCOMORE,7319,2,Député,Cinquième République - Assemblée nationale,IVe législature,1968-06-23,1973-04-01,Saint-Pierre-et-Miquelon,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7319
FR_ELITE_000004,SYCOMORE,6292,1,Député,Cinquième République - Assemblée nationale,IVe législature,1968-06-30,1973-04-01,Seine-Maritime,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/6292
FR_ELITE_000006,SYCOMORE,199,1,Député,Cinquième République - Assemblée nationale,IVe législature,1968-08-13,1973-04-01,Bouches-du-Rhône,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/199
FR_ELITE_000008,SYCOMORE,6718,1,Député,Gouvernement provisoire de la République française,Ire Assemblée nationale constituante,1945-10-21,1946-06-10,Anciens départements d'Algérie,,Mouvement républicain populaire,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/6718
FR_ELITE_000008,SYCOMORE,6718,2,Député,Quatrième République - Assemblée nationale,IIe législature,1951-06-17,1955-12-01,Anciens départements d'Algérie,,Rassemblement du peuple français,RPF,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/6718
FR_ELITE_000009,SYCOMORE,692,1,Député,Quatrième République - Assemblée nationale,IIe législature,1951-06-17,1955-12-01,Seine-et-Oise,,Rassemblement du peuple français,RPF,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/692
FR_ELITE_000010,SYCOMORE,303,1,Député,Cinquième République - Assemblée nationale,Ire législature,1958-11-30,1962-10-09,Deux-Sèvres,,Républicains populaires et centre démocratique,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/303
FR_ELITE_000010,SYCOMORE,303,2,Député,Cinquième République - Assemblée nationale,IIe législature,1962-11-25,1967-04-02,Deux-Sèvres,,Centre démocratique,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/303
FR_ELITE_000010,SYCOMORE,303,3,Député,Cinquième République - Assemblée nationale,IIIe législature,1967-03-12,1968-05-30,Deux-Sèvres,,Union démocratique pour la V° République,UD-Ve,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/303
FR_ELITE_000010,SYCOMORE,303,4,Député,Cinquième République - Assemblée nationale,IVe législature,1968-06-23,1973-04-01,Deux-Sèvres,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/303
FR_ELITE_000013,SYCOMORE,6745,1,Député,Cinquième République - Assemblée nationale,IIe législature,1962-11-25,1967-04-02,Côtes-du-Nord,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/6745
FR_ELITE_000014,SYCOMORE,1757,1,Député,Cinquième République - Assemblée nationale,Ire législature,1959-02-09,1962-07-03,Anciens départements d'Algérie,,Union pour la nouvelle République,UNR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/1757
FR_ELITE_000019,SYCOMORE,5427,1,Député,Cinquième République - Assemblée nationale,Ire législature,1958-11-30,1962-10-09,Seine-Maritime,,Union pour la nouvelle République,UNR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/5427
FR_ELITE_000019,SYCOMORE,5427,2,Député,Cinquième République - Assemblée nationale,IIe législature,1962-11-25,1967-04-02,Seine-Maritime,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/5427
FR_ELITE_000021,SYCOMORE,6139,1,Député,Cinquième République - Assemblée nationale,Ire législature,1958-11-30,1962-10-09,Dordogne,,Union pour la nouvelle République,UNR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/6139
FR_ELITE_000024,SYCOMORE,3983,1,Député,Cinquième République - Assemblée nationale,IVe législature,1968-06-30,1973-04-01,Gard,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3983
FR_ELITE_000027,SYCOMORE,660,1,Député,Gouvernement provisoire de la République française,2e Assemblée nationale constituante,1946-06-02,1946-11-27,Bouches-du-Rhône,1e circonscription de Marseille | 1ère circonscription de Marseille,Parti républicain de la liberté,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/660
FR_ELITE_000027,SYCOMORE,660,2,Député,Quatrième République - Assemblée nationale,Ire législature,1946-11-10,1951-07-04,Bouches-du-Rhône,1e circonscription de Marseille | 1ère circonscription de Marseille,Parti républicain de la liberté,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/660
FR_ELITE_000027,SYCOMORE,660,3,Député,Quatrième République - Assemblée nationale,IIe législature,1951-06-17,1955-12-01,Bouches-du-Rhône,1e circonscription de Marseille | 1ère circonscription de Marseille,Rassemblement du peuple français - ARS,RPF,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/660
FR_ELITE_000027,SYCOMORE,660,4,Député,Quatrième République - Assemblée nationale,IIIe législature,1956-01-02,1958-12-08,Bouches-du-Rhône,1e circonscription de Marseille | 1ère circonscription de Marseille,Indépendants et paysans d'action sociale,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/660
FR_ELITE_000027,SYCOMORE,660,5,Député,Cinquième République - Assemblée nationale,Ire législature,1958-11-30,1962-10-09,Bouches-du-Rhône,1e circonscription de Marseille | 1ère circonscription de Marseille,Indépendants et paysans d'action sociale,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/660
FR_ELITE_000029,SYCOMORE,3484,1,Député,Cinquième République - Assemblée nationale,IIe législature,1962-11-25,1967-04-02,Rhône,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/3484
FR_ELITE_000030,SYCOMORE,2378,1,Député,Cinquième République - Assemblée nationale,Ire législature,1958-11-30,1962-10-09,Nord,,Union pour la nouvelle République,UNR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/2378
FR_ELITE_000032,SYCOMORE,5741,1,Député,Cinquième République - Assemblée nationale,Ire législature,1958-11-30,1960-06-04,Seine,,Union pour la nouvelle République,UNR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/5741
FR_ELITE_000036,SYCOMORE,7173,1,Député,Cinquième République - Assemblée nationale,IVe législature,1972-08-07,1973-04-01,Paris,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7173
