fiche_id,url,nom_complet,naissance_date,naissance_commune,naissance_dept,deces_date,deces_commune,deces_dept,chambre,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,est_gaulliste,suppleant_de,a_eu_suppleant
7,https://www2.assemblee-nationale.fr/sycomore/fiche/7,Ferhat Abbas,24 août 1899,Beni-affer,Algérie,24 décembre 1985,Alger,Algérie,Assemblée nationale constituante,Gouvernement provisoire de la République française,2e Assemblée nationale constituante,2 juin 1946,27 novembre 1946,Anciens départements d'Algérie,,Union démocratique du Manifeste algérien,,FALSE,,
12,https://www2.assemblee-nationale.fr/sycomore/fiche/12,Bachir Ben Mohamed Abddelouahab,2 décembre 1897,Miliana,Algérie,1 juillet 1978,Alger,Algérie,Assemblée nationale constituante,Gouvernement provisoire de la République française,Ire Assemblée nationale constituante,21 octobre 1945,19 février 1946,Anciens départements d'Algérie,,Socialiste,,FALSE,,
13,https://www2.assemblee-nationale.fr/sycomore/fiche/13,Robert Abdesselam,27 janvier 1920,El-biar,Algérie,26 juillet 2006,Paris,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,Ire législature,30 novembre 1958,3 juillet 1962,Anciens départements d'Algérie,,Unité de la République,,FALSE,,
14,https://www2.assemblee-nationale.fr/sycomore/fiche/14,Moussa Ali Abdoulkader,1 janvier 1923,Djibouti,Djibouti,26 septembre 1986,Paris,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,IIIe législature,23 avril 1967,30 mai 1968,Territoire français des Affars et des Issas,,Union démocratique pour la V° République,UD-Ve,TRUE,,
14,https://www2.assemblee-nationale.fr/sycomore/fiche/14,Moussa Ali Abdoulkader,1 janvier 1923,Djibouti,Djibouti,26 septembre 1986,Paris,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,IVe législature,23 juin 1968,1 avril 1973,Territoire français des Affars et des Issas,,Union des démocrates pour la République,UDR,TRUE,,
19,https://www2.assemblee-nationale.fr/sycomore/fiche/19,"Pierre, Louis, Ernest, Armand Abelin",16 mai 1909,Poitiers,Vienne,23 mai 1977,Poitiers,Vienne,Assemblée nationale constituante,Gouvernement provisoire de la République française,Ire Assemblée nationale constituante,21 octobre 1945,10 juin 1946,Vienne,,Mouvement républicain populaire,,FALSE,,
19,https://www2.assemblee-nationale.fr/sycomore/fiche/19,"Pierre, Louis, Ernest, Armand Abelin",16 mai 1909,Poitiers,Vienne,23 mai 1977,Poitiers,Vienne,Assemblée nationale constituante,Gouvernement provisoire de la République française,2e Assemblée nationale constituante,2 juin 1946,27 novembre 1946,Vienne,,Mouvement républicain populaire,,FALSE,,
19,https://www2.assemblee-nationale.fr/sycomore/fiche/19,"Pierre, Louis, Ernest, Armand Abelin",16 mai 1909,Poitiers,Vienne,23 mai 1977,Poitiers,Vienne,Assemblée nationale,Quatrième République - Assemblée nationale,Ire législature,10 novembre 1946,4 juillet 1951,Vienne,,Mouvement républicain populaire,,FALSE,,
19,https://www2.assemblee-nationale.fr/sycomore/fiche/19,"Pierre, Louis, Ernest, Armand Abelin",16 mai 1909,Poitiers,Vienne,23 mai 1977,Poitiers,Vienne,Assemblée nationale,Quatrième République - Assemblée nationale,IIe législature,17 juin 1951,1 décembre 1955,Vienne,,Mouvement républicain populaire,,FALSE,,
19,https://www2.assemblee-nationale.fr/sycomore/fiche/19,"Pierre, Louis, Ernest, Armand Abelin",16 mai 1909,Poitiers,Vienne,23 mai 1977,Poitiers,Vienne,Assemblée nationale,Quatrième République - Assemblée nationale,IIIe législature,2 janvier 1956,8 décembre 1958,Vienne,,Mouvement républicain populaire,,FALSE,,
19,https://www2.assemblee-nationale.fr/sycomore/fiche/19,"Pierre, Louis, Ernest, Armand Abelin",16 mai 1909,Poitiers,Vienne,23 mai 1977,Poitiers,Vienne,Assemblée nationale,Cinquième République - Assemblée nationale,IIe législature,25 novembre 1962,2 avril 1967,Vienne,,Centre démocratique,,FALSE,,
19,https://www2.assemblee-nationale.fr/sycomore/fiche/19,"Pierre, Louis, Ernest, Armand Abelin",16 mai 1909,Poitiers,Vienne,23 mai 1977,Poitiers,Vienne,Assemblée nationale,Cinquième République - Assemblée nationale,IIIe législature,12 mars 1967,30 mai 1968,Vienne,,Progrès et démocratie moderne,,FALSE,,
19,https://www2.assemblee-nationale.fr/sycomore/fiche/19,"Pierre, Louis, Ernest, Armand Abelin",16 mai 1909,Poitiers,Vienne,23 mai 1977,Poitiers,Vienne,Assemblée nationale,Cinquième République - Assemblée nationale,IVe législature,30 juin 1968,1 avril 1973,Vienne,,Progrès et démocratie moderne,,FALSE,,
19,https://www2.assemblee-nationale.fr/sycomore/fiche/19,"Pierre, Louis, Ernest, Armand Abelin",16 mai 1909,Poitiers,Vienne,23 mai 1977,Poitiers,Vienne,Assemblée nationale,Cinquième République - Assemblée nationale,Ve législature,2 avril 1973,28 juin 1974,Vienne,,Réformateurs démocrates sociaux,,FALSE,,
19,https://www2.assemblee-nationale.fr/sycomore/fiche/19,"Pierre, Louis, Ernest, Armand Abelin",16 mai 1909,Poitiers,Vienne,23 mai 1977,Poitiers,Vienne,Assemblée nationale,Cinquième République - Assemblée nationale,Ve législature,19 octobre 1975,19 novembre 1975,Vienne,,Réformateurs démocrates sociaux,,FALSE,,
29,https://www2.assemblee-nationale.fr/sycomore/fiche/29,Aymar Achille-Fould,17 juillet 1925,Tarbes,Hautes,11 avril 1986,Paris,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,IIe législature,6 décembre 1962,2 avril 1967,Gironde,,Rassemblement démocratique,,FALSE,,
29,https://www2.assemblee-nationale.fr/sycomore/fiche/29,Aymar Achille-Fould,17 juillet 1925,Tarbes,Hautes,11 avril 1986,Paris,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,IIIe législature,3 avril 1967,30 mai 1968,Gironde,,Progrès et démocratie moderne,,FALSE,,
29,https://www2.assemblee-nationale.fr/sycomore/fiche/29,Aymar Achille-Fould,17 juillet 1925,Tarbes,Hautes,11 avril 1986,Paris,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,IVe législature,11 juillet 1968,1 avril 1973,Gironde,,Progrès et démocratie moderne,,FALSE,,
29,https://www2.assemblee-nationale.fr/sycomore/fiche/29,Aymar Achille-Fould,17 juillet 1925,Tarbes,Hautes,11 avril 1986,Paris,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,Ve législature,2 avril 1973,12 mai 1973,Gironde,,Union centriste,,FALSE,,
29,https://www2.assemblee-nationale.fr/sycomore/fiche/29,Aymar Achille-Fould,17 juillet 1925,Tarbes,Hautes,11 avril 1986,Paris,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,VIIIe législature,2 avril 1986,11 avril 1986,Gironde,,Union pour la démocratie française,,FALSE,,
