fiche_id,url,nom_complet,naissance_date,naissance_commune,naissance_dept,deces_date,deces_commune,deces_dept,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,est_gaulliste,suppleant_de,a_eu_suppleant
14,https://www2.assemblee-nationale.fr/sycomore/fiche/14,Moussa Ali Abdoulkader,1 janvier 1923,Djibouti,Djibouti,26 septembre 1986,Paris,Paris,Cinquième République - Assemblée nationale,IIIe législature,23 avril 1967,30 mai 1968,Territoire français des Affars et des Issas,,Union démocratique pour la V° République,UD-Ve,TRUE,,
14,https://www2.assemblee-nationale.fr/sycomore/fiche/14,Moussa Ali Abdoulkader,1 janvier 1923,Djibouti,Djibouti,26 septembre 1986,Paris,Paris,Cinquième République - Assemblée nationale,IVe législature,23 juin 1968,1 avril 1973,Territoire français des Affars et des Issas,,Union des démocrates pour la République,UDR,TRUE,,
60,https://www2.assemblee-nationale.fr/sycomore/fiche/60,"Gaston, Paul, Emile Aizier",18 avril 1922,L'isle-adam,,1 août 2000,Beaumont-sur-oise,Val,Cinquième République - Assemblée nationale,IIe législature,25 novembre 1962,2 avril 1967,Yvelines,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,,
77,https://www2.assemblee-nationale.fr/sycomore/fiche/77,Médard Albrand,8 juin 1898,Petit-canal,Guadeloupe,26 juillet 1981,Paris,Paris,Cinquième République - Assemblée nationale,Ire législature,30 novembre 1958,9 octobre 1962,Guadeloupe,,Union pour la nouvelle République,UNR,TRUE,,
77,https://www2.assemblee-nationale.fr/sycomore/fiche/77,Médard Albrand,8 juin 1898,Petit-canal,Guadeloupe,26 juillet 1981,Paris,Paris,Cinquième République - Assemblée nationale,IIe législature,18 novembre 1962,2 avril 1967,Guadeloupe,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,,
99,https://www2.assemblee-nationale.fr/sycomore/fiche/99,Michel Alloncle,7 octobre 1928,Champagne-mouton,Charente,23 avril 2003,Ruffec,Charente,Cinquième République - Assemblée nationale,IVe législature,30 juin 1968,1 avril 1973,Charente,,Union des démocrates pour la République,UDR,TRUE,,
99,https://www2.assemblee-nationale.fr/sycomore/fiche/99,Michel Alloncle,7 octobre 1928,Champagne-mouton,Charente,23 avril 2003,Ruffec,Charente,Cinquième République - Assemblée nationale,Ve législature,2 avril 1973,2 avril 1978,Charente,,Union des démocrates pour la République,UDR,TRUE,,
155,https://www2.assemblee-nationale.fr/sycomore/fiche/155,Vincent Ansquer,11 janvier 1925,Treize-septiers,Vendée,31 mai 1987,Levallois-perret,Hauts,Cinquième République - Assemblée nationale,IIe législature,6 décembre 1962,2 avril 1967,Vendée,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,,
155,https://www2.assemblee-nationale.fr/sycomore/fiche/155,Vincent Ansquer,11 janvier 1925,Treize-septiers,Vendée,31 mai 1987,Levallois-perret,Hauts,Cinquième République - Assemblée nationale,IIIe législature,3 avril 1967,30 mai 1968,Vendée,,Union démocratique pour la V° République,UD-Ve,TRUE,,
155,https://www2.assemblee-nationale.fr/sycomore/fiche/155,Vincent Ansquer,11 janvier 1925,Treize-septiers,Vendée,31 mai 1987,Levallois-perret,Hauts,Cinquième République - Assemblée nationale,IVe législature,11 juillet 1968,1 avril 1973,Vendée,,Union des démocrates pour la République,UDR,TRUE,,
